"CODIGO_SIGA","CURSO","NÍVEL","INEP"
260,"LETRAS-LÍNGUA PORTUGUESA-EAD","GRADUAÇÃO",121487
327,"LETRAS-LÍNGUA PORTUGUESA-EAD-PARFOR","GRADUAÇÃO",121487
31,"MATEMÁTICA - BACHARELADO","GRADUAÇÃO",13592
30,"MATEMÁTICA - LICENCIATURA","GRADUAÇÃO",13619
282,"MATEMÁTICA - LICENCIATURA - CAA","GRADUAÇÃO",118100
330,"MATEMÁTICA-EAD","GRADUAÇÃO",1137846
326,"MATEMÁTICA-EAD-PARFOR","GRADUAÇÃO",1137846
55,"MEDICINA","GRADUAÇÃO",13601
365,"MEDICINA - CAA","GRADUAÇÃO",1189778
235,"MOBILIDADE ESTUDANTIL","GRADUAÇÃO",0
275,"MUSEOLOGIA","GRADUAÇÃO",117388
78,"MUSICA - CANTO","GRADUAÇÃO",53750
77,"MUSICA - INSTRUMENTO","GRADUAÇÃO",53760
73,"MUSICA - LICENCIATURA","GRADUAÇÃO",13604
350,"MÚSICA - LICENCIATURA - CAA","GRADUAÇÃO",0
56,"NUTRIÇÃO","GRADUAÇÃO",13602
1005,"NUTRIÇÃO - CAV","GRADUAÇÃO",101149
274,"OCEANOGRAFIA","GRADUAÇÃO",117376
57,"ODONTOLOGIA","GRADUAÇÃO",13611
11,"PEDAGOGIA","GRADUAÇÃO",13580
1002,"PEDAGOGIA - CAA","GRADUAÇÃO",101092
10,"PSICOLOGIA","GRADUAÇÃO",13608
80,"PUBLICIDADE E PROPAGANDA","GRADUAÇÃO",33784
33,"QUÍMICA - BACHARELADO","GRADUAÇÃO",13591
32,"QUÍMICA - LICENCIATURA","GRADUAÇÃO",13618
280,"QUÍMICA - LICENCIATURA - CAA","GRADUAÇÃO",118098
41,"QUÍMICA INDUSTRIAL","GRADUAÇÃO",13593
82,"RÁDIO, TV E INTERNET","GRADUAÇÃO",23912
348,"SAÚDE COLETIVA - CAV","GRADUAÇÃO",1189922
17,"SECRETARIADO EXECUTIVO","GRADUAÇÃO",13582
16,"SERVIÇO SOCIAL","GRADUAÇÃO",13581
311,"SISTEMAS DE INFORMAÇÃO","GRADUAÇÃO",1136142
69,"TEATRO","GRADUAÇÃO",35520
61,"TERAPIA OCUPACIONAL","GRADUAÇÃO",13615
83,"TURISMO","GRADUAÇÃO",13625
